Open,High,Low,Close,Volume
1021.84,1024.69,1014.04,1021.22,1358.33279353
1021.46,1025.0,1010.79,1015.32,988.31105089
1015.66,1023.8,1014.0,1015.57,2070.51257372
1015.57,1027.57,1015.0,1026.08,2876.91509043
1025.8,1047.74,1025.8,1040.39,4465.51854627
1040.47,1045.08,1035.8,1043.5,1844.9864675
1044.0,1049.8,1028.75,1038.35,3179.98718655
1037.71,1049.31,1034.15,1036.87,1765.12549475
1037.62,1040.52,1028.6,1032.5,2952.1201946
1032.84,1037.84,1018.93,1020.46,1631.44132837
1021.23,1036.05,1021.23,1035.99,1945.82370839
1036.04,1036.96,995.2,1006.45,6143.12627007
1006.92,1013.13,993.91,998.28,3830.27130348
997.61,1011.64,995.74,1007.61,1324.11205591
1007.34,1013.47,1004.66,1010.23,981.98555687
1010.55,1018.58,1009.85,1017.48,738.26888192
1017.49,1022.83,1009.88,1022.83,1167.77961508
1022.86,1023.92,1011.77,1012.89,1411.42952017
1013.12,1014.16,1002.26,1006.37,1106.64017777
1006.55,1025.71,1003.42,1022.98,1265.17392259
1024.76,1041.47,1018.39,1041.47,4664.91731333
1040.78,1045.99,1035.14,1042.52,2901.43189656
1043.52,1093.94,1042.98,1093.4,11417.8908090301
1093.4,1100.0,1078.42,1092.81,8251.73752528
1092.85,1131.22,1088.62,1131.21,8142.14323833
1131.21,1134.0,1082.48,1095.47,9490.69715571
1095.68,1117.05,1084.99,1092.46,5553.63641889
1091.49,1092.99,1065.46,1092.99,5182.09661834
1093.05,1110.0,1090.8,1091.68,2565.36113346
1091.23,1117.36,1082.89,1115.99,3925.70826242
1115.77,1117.61,1094.19,1098.57,2162.80207389
1100.32,1106.72,1085.28,1092.76,1746.06290873
1092.01,1092.62,1071.0,1078.15,2080.97216723
1077.57,1086.96,1073.59,1080.27,1840.01106914
1079.86,1089.82,1071.61,1085.65,2483.04767059
1086.36,1089.0,1043.36,1049.7,6187.48506285
1048.25,1059.12,1017.13,1027.29,7853.45253584
1027.35,1030.0,995.0,1001.96,10676.92333717
1003.23,1023.54,988.0,992.83,5985.1996396
993.96,1025.59,989.11,1013.77,3183.82761693
1013.78,1030.67,1011.34,1028.16,3599.28632896
1026.44,1030.8,1001.0,1004.5,2989.56870525
1004.5,1024.61,1004.5,1012.78,2045.55845663
1012.78,1016.04,994.83,1006.82,2778.91327714
1008.62,1018.86,1002.79,1003.34,2428.73785522
1004.3,1005.83,975.0,990.87,8046.51177417
990.0,1006.48,980.0,987.55,3621.47598764
985.79,1003.46,985.79,1001.16,1692.84188721
1001.92,1017.82,1001.92,1012.94,2646.74821544
1013.0,1022.0,1013.0,1015.98,1401.83284756
1015.98,1025.19,1008.48,1012.9,1474.2858848
1013.23,1018.89,1009.74,1016.67,823.35445456
1016.61,1016.61,1004.57,1010.69,649.12411442
1011.58,1011.58,1001.64,1003.49,650.54379213
1004.04,1035.28,1004.04,1034.64,1200.84563052
1033.57,1044.43,1029.43,1029.43,2276.15645935
1029.18,1040.0,1019.89,1021.41,3332.39202655
1021.52,1031.65,1021.52,1026.76,1350.60155587
1026.76,1036.59,1023.77,1032.5,709.89866505
1032.55,1046.71,1032.55,1045.99,1267.79525822
1045.14,1049.66,1036.42,1047.88,1123.37901791
